城堡建筑物id|建筑物名字|建筑物等级|需要金币|需要泉水|需要时间|数值属性|获得玩家经验表|美术资源
id_INT|name_STRING|level_INT|goldCost_INT|magicCost_INT|timeCost_INT|numericalAttributes_INT|getPlayeExp_INT|buildingART_STRING
10060101|主城1级|1|1000|500|120|0|100|Mint_Level03
10060102|主城2级|2|3000|1500|3600|0|200|Mint_Level03
10060103|主城3级|3|5000|2500|7200|0|300|Mint_Level03
10060104|主城4级|4|7000|3500|10800|0|400|Mint_Level03
10060105|主城5级|5|9000|4500|14400|0|500|Mint_Level03
10060106|主城6级|6|11000|5500|18000|0|600|Mint_Level03
10060107|主城7级|7|13000|6500|21600|0|700|Mint_Level03
10060108|主城8级|8|15000|7500|25200|0|800|Mint_Level03
10060109|主城9级|9|17000|8500|28800|0|900|Mint_Level03
10060110|主城10级|10|19000|9500|32400|0|1000|Mint_Level03
10060201|兵营1级|1|1000|500|120|0|20|Barracks_Level03
10060202|兵营2级|2|2000|1000|3600|0|40|Barracks_Level03
10060203|兵营3级|3|3000|1500|7200|0|60|Barracks_Level03
10060204|兵营4级|4|4000|2000|7200|0|80|Barracks_Level03
10060205|兵营5级|5|5000|2500|7200|0|100|Barracks_Level03
10060206|兵营6级|6|6000|3000|7200|0|120|Barracks_Level03
10060207|兵营7级|7|7000|3500|7200|0|140|Barracks_Level03
10060208|兵营8级|8|8000|4000|7200|0|160|Barracks_Level03
10060209|兵营9级|9|9000|4500|7200|0|180|Barracks_Level03
10060210|兵营10级|10|10000|5000|7200|0|200|Barracks_Level03
10060301|营地1级|1|1000|500|120|40|20|Tavern_Level03
10060302|营地2级|2|2000|1000|3600|50|40|Tavern_Level03
10060303|营地3级|3|3000|1500|7200|60|60|Tavern_Level03
10060304|营地4级|4|4000|2000|7200|70|80|Tavern_Level03
10060305|营地5级|5|5000|2500|7200|80|100|Tavern_Level03
10060306|营地6级|6|6000|3000|7200|90|120|Tavern_Level03
10060307|营地7级|7|7000|3500|7200|100|140|Tavern_Level03
10060308|营地8级|8|8000|4000|7200|110|160|Tavern_Level03
10060309|营地9级|9|9000|4500|7200|120|180|Tavern_Level03
10060310|营地10级|10|10000|5000|7200|130|200|Tavern_Level03
10060401|金矿1级|1|2000|1000|1200|100|20|Cellar_Level03
10060402|金矿2级|2|4000|2000|2400|200|40|Cellar_Level03
10060403|金矿3级|3|6000|3000|3600|300|60|Cellar_Level03
10060404|金矿4级|4|8000|4000|4800|400|80|Cellar_Level03
10060405|金矿5级|5|10000|5000|6000|500|100|Cellar_Level03
10060406|金矿6级|6|12000|6000|7200|600|120|Cellar_Level03
10060407|金矿7级|7|14000|7000|8400|700|140|Cellar_Level03
10060408|金矿8级|8|16000|8000|9600|800|160|Cellar_Level03
10060409|金矿9级|9|18000|9000|10800|900|180|Cellar_Level03
10060410|金矿10级|10|20000|10000|12000|1000|200|Cellar_Level03
10060411|金矿11级|11|22000|11000|13200|1100|220|Cellar_Level03
10060412|金矿12级|12|24000|12000|14400|1200|240|Cellar_Level03
10060413|金矿13级|13|26000|13000|15600|1300|260|Cellar_Level03
10060414|金矿14级|14|28000|14000|16800|1400|280|Cellar_Level03
10060415|金矿15级|15|30000|15000|18000|1500|300|Cellar_Level03
10060501|魔法泉1级|1|2000|1000|1200|100|20|OleStone_Level03
10060502|魔法泉2级|2|4000|2000|2400|200|40|OleStone_Level03
10060503|魔法泉3级|3|6000|3000|3600|300|60|OleStone_Level03
10060504|魔法泉4级|4|8000|4000|4800|400|80|OleStone_Level03
10060505|魔法泉5级|5|10000|5000|6000|500|100|OleStone_Level03
10060506|魔法泉6级|6|12000|6000|7200|600|120|OleStone_Level03
10060507|魔法泉7级|7|14000|7000|8400|700|140|OleStone_Level03
10060508|魔法泉8级|8|16000|8000|9600|800|160|OleStone_Level03
10060509|魔法泉9级|9|18000|9000|10800|900|180|OleStone_Level03
10060510|魔法泉10级|10|20000|10000|12000|1000|200|OleStone_Level03
10060511|魔法泉11级|11|22000|11000|13200|1100|220|OleStone_Level03
10060512|魔法泉12级|12|24000|12000|14400|1200|240|OleStone_Level03
10060513|魔法泉13级|13|26000|13000|15600|1300|260|OleStone_Level03
10060514|魔法泉14级|14|28000|14000|16800|1400|280|OleStone_Level03
10060515|魔法泉15级|15|30000|15000|18000|1500|300|OleStone_Level03
10060601|储金罐1级|1|0|1000|120|10000|20|Tavern_Level03
10060602|储金罐2级|2|0|3000|1200|50000|40|Tavern_Level03
10060603|储金罐3级|3|0|5000|2400|100000|60|Tavern_Level03
10060604|储金罐4级|4|0|10000|3600|150000|80|Tavern_Level03
10060605|储金罐5级|5|0|15000|4800|200000|100|Tavern_Level03
10060606|储金罐6级|6|0|20000|6000|250000|120|Tavern_Level03
10060607|储金罐7级|7|0|25000|7200|300000|140|Tavern_Level03
10060608|储金罐8级|8|0|30000|8400|350000|160|Tavern_Level03
10060609|储金罐9级|9|0|35000|9600|400000|180|Tavern_Level03
10060610|储金罐10级|10|0|40000|10800|450000|200|Tavern_Level03
10060701|魔法瓶1级|1|1000|0|120|10000|20|Pantheon_Level03
10060702|魔法瓶2级|2|3000|0|1200|50000|40|Pantheon_Level03
10060703|魔法瓶3级|3|5000|0|2400|100000|60|Pantheon_Level03
10060704|魔法瓶4级|4|10000|0|3600|150000|80|Pantheon_Level03
10060705|魔法瓶5级|5|15000|0|4800|200000|100|Pantheon_Level03
10060706|魔法瓶6级|6|20000|0|6000|250000|120|Pantheon_Level03
10060707|魔法瓶7级|7|25000|0|7200|300000|140|Pantheon_Level03
10060708|魔法瓶8级|8|30000|0|8400|350000|160|Pantheon_Level03
10060709|魔法瓶9级|9|35000|0|9600|400000|180|Pantheon_Level03
10060710|魔法瓶10级|10|40000|0|10800|450000|200|Pantheon_Level03
10060801|英雄营地1级|1|10000|10000|1200|1|100|AoruoMiracle_Level03
10060802|英雄营地2级|2|20000|20000|2400|2|200|AoruoMiracle_Level03
10060803|英雄营地3级|3|30000|30000|3600|3|300|AoruoMiracle_Level03
10060804|英雄营地4级|4|40000|40000|4800|4|400|AoruoMiracle_Level03
10060805|英雄营地5级|5|50000|50000|6000|5|500|AoruoMiracle_Level03
10060806|英雄营地6级|6|60000|60000|7200|6|600|AoruoMiracle_Level03
10060807|英雄营地7级|7|70000|70000|8400|7|700|AoruoMiracle_Level03
10060808|英雄营地8级|8|80000|80000|9600|8|800|AoruoMiracle_Level03
10060809|英雄营地9级|9|90000|90000|10800|9|900|AoruoMiracle_Level03
10060810|英雄营地10级|10|100000|100000|12000|10|1000|AoruoMiracle_Level03
10060811|英雄营地11级|11|110000|110000|13200|11|1100|AoruoMiracle_Level03
10060812|英雄营地12级|12|120000|120000|14400|12|1200|AoruoMiracle_Level03
10060813|英雄营地13级|13|130000|130000|15600|13|1300|AoruoMiracle_Level03
10060814|英雄营地14级|14|140000|140000|16800|14|1400|AoruoMiracle_Level03
10060815|英雄营地15级|15|150000|150000|18000|15|1500|AoruoMiracle_Level03
10060901|实验室1级|1|10000|0|1200|0|100|Smithy_Level03
10060902|实验室2级|2|60000|0|2400|0|200|Smithy_Level03
10060903|实验室3级|3|110000|0|3600|0|300|Smithy_Level03
10060904|实验室4级|4|160000|0|4800|0|400|Smithy_Level03
10060905|实验室5级|5|210000|0|6000|0|500|Smithy_Level03
10060906|实验室6级|6|260000|0|7200|0|600|Smithy_Level03
10061001|法术工厂1级|1|10000|0|1200|1|100|Monument_Level03
10061002|法术工厂2级|2|60000|0|2400|2|200|Monument_Level03
10061003|法术工厂3级|3|110000|0|3600|3|300|Monument_Level03
10061004|法术工厂4级|4|160000|0|4800|4|400|Monument_Level03
10061005|法术工厂5级|5|210000|0|6000|5|500|Monument_Level03
10061006|法术工厂6级|6|260000|0|7200|6|600|Monument_Level03
10069101|工人木屋|1|10000|10000|0|1|10|Billboard_Level03
